group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,Internal Rayon Parallel,1000000,,,1148250.0,ns,2
UniFrac Function,Internal Rayon Parallel,1000000,,,2246833.0,ns,4
UniFrac Function,Internal Rayon Parallel,1000000,,,3494375.0,ns,6
UniFrac Function,Internal Rayon Parallel,1000000,,,4932584.0,ns,8
UniFrac Function,Internal Rayon Parallel,1000000,,,6250375.0,ns,10
UniFrac Function,Internal Rayon Parallel,1000000,,,7524250.0,ns,12
UniFrac Function,Internal Rayon Parallel,1000000,,,8988792.0,ns,14
UniFrac Function,Internal Rayon Parallel,1000000,,,9560292.0,ns,16
UniFrac Function,Internal Rayon Parallel,1000000,,,10668792.0,ns,18
UniFrac Function,Internal Rayon Parallel,1000000,,,12012500.0,ns,20
UniFrac Function,Internal Rayon Parallel,1000000,,,12917250.0,ns,22
UniFrac Function,Internal Rayon Parallel,1000000,,,14177417.0,ns,24
UniFrac Function,Internal Rayon Parallel,1000000,,,15003166.0,ns,26
UniFrac Function,Internal Rayon Parallel,1000000,,,16207667.0,ns,28
UniFrac Function,Internal Rayon Parallel,1000000,,,17388334.0,ns,30
UniFrac Function,Internal Rayon Parallel,1000000,,,18443875.0,ns,32
UniFrac Function,Internal Rayon Parallel,1000000,,,19655250.0,ns,34
UniFrac Function,Internal Rayon Parallel,1000000,,,20810084.0,ns,36
UniFrac Function,Internal Rayon Parallel,1000000,,,21787125.0,ns,38
UniFrac Function,Internal Rayon Parallel,1000000,,,23015458.0,ns,40
UniFrac Function,Internal Rayon Parallel,1000000,,,24328166.0,ns,42
UniFrac Function,Internal Rayon Parallel,1000000,,,26217541.0,ns,44
UniFrac Function,Internal Rayon Parallel,1000000,,,27018958.0,ns,46
UniFrac Function,Internal Rayon Parallel,1000000,,,28057833.0,ns,48
UniFrac Function,Internal Rayon Parallel,1000000,,,30602750.0,ns,50
UniFrac Function,Internal Rayon Parallel,1000000,,,31814875.0,ns,52
UniFrac Function,Internal Rayon Parallel,1000000,,,32755917.0,ns,54
UniFrac Function,Internal Rayon Parallel,1000000,,,32956375.0,ns,56
UniFrac Function,Internal Rayon Parallel,1000000,,,33679292.0,ns,58
UniFrac Function,Internal Rayon Parallel,1000000,,,34776166.0,ns,60
UniFrac Function,Internal Rayon Parallel,1000000,,,35263542.0,ns,62
UniFrac Function,Internal Rayon Parallel,1000000,,,36683666.0,ns,64
UniFrac Function,Internal Rayon Parallel,1000000,,,38084417.0,ns,66
UniFrac Function,Internal Rayon Parallel,1000000,,,39748750.0,ns,68
UniFrac Function,Internal Rayon Parallel,1000000,,,41720500.0,ns,70
UniFrac Function,Internal Rayon Parallel,1000000,,,43843041.0,ns,72
UniFrac Function,Internal Rayon Parallel,1000000,,,43146667.0,ns,74
UniFrac Function,Internal Rayon Parallel,1000000,,,44313125.0,ns,76
UniFrac Function,Internal Rayon Parallel,1000000,,,45202417.0,ns,78
UniFrac Function,Internal Rayon Parallel,1000000,,,47337417.0,ns,80
UniFrac Function,Internal Rayon Parallel,1000000,,,48065125.0,ns,82
UniFrac Function,Internal Rayon Parallel,1000000,,,49158625.0,ns,84
UniFrac Function,Internal Rayon Parallel,1000000,,,49693875.0,ns,86
UniFrac Function,Internal Rayon Parallel,1000000,,,50860375.0,ns,88
UniFrac Function,Internal Rayon Parallel,1000000,,,53480166.0,ns,90
UniFrac Function,Internal Rayon Parallel,1000000,,,54668875.0,ns,92
UniFrac Function,Internal Rayon Parallel,1000000,,,54610959.0,ns,94
UniFrac Function,Internal Rayon Parallel,1000000,,,55993042.0,ns,96
UniFrac Function,Internal Rayon Parallel,1000000,,,58743834.0,ns,98
UniFrac Function,Internal Rayon Parallel,1000000,,,60361750.0,ns,100
UniFrac Function,Internal Rayon Parallel,1000000,,,62394542.0,ns,102
UniFrac Function,Internal Rayon Parallel,1000000,,,59993750.0,ns,104
UniFrac Function,Internal Rayon Parallel,1000000,,,61821416.0,ns,106
UniFrac Function,Internal Rayon Parallel,1000000,,,62170500.0,ns,108
UniFrac Function,Internal Rayon Parallel,1000000,,,63740792.0,ns,110
UniFrac Function,Internal Rayon Parallel,1000000,,,66382750.0,ns,112
UniFrac Function,Internal Rayon Parallel,1000000,,,66252625.0,ns,114
UniFrac Function,Internal Rayon Parallel,1000000,,,67131833.0,ns,116
UniFrac Function,Internal Rayon Parallel,1000000,,,69499666.0,ns,118
UniFrac Function,Internal Rayon Parallel,1000000,,,70038000.0,ns,120
UniFrac Function,Internal Rayon Parallel,1000000,,,72152917.0,ns,122
UniFrac Function,Internal Rayon Parallel,1000000,,,71288875.0,ns,124
UniFrac Function,Internal Rayon Parallel,1000000,,,75561875.0,ns,126
UniFrac Function,Internal Rayon Parallel,1000000,,,76295250.0,ns,128
UniFrac Function,Internal Rayon Parallel,1000000,,,78566458.0,ns,130
UniFrac Function,Internal Rayon Parallel,1000000,,,81162958.0,ns,132
UniFrac Function,Internal Rayon Parallel,1000000,,,80090833.0,ns,134
UniFrac Function,Internal Rayon Parallel,1000000,,,80932167.0,ns,136
UniFrac Function,Internal Rayon Parallel,1000000,,,81880375.0,ns,138
UniFrac Function,Internal Rayon Parallel,1000000,,,83103083.0,ns,140
UniFrac Function,Internal Rayon Parallel,1000000,,,84445792.0,ns,142
UniFrac Function,Internal Rayon Parallel,1000000,,,85448791.0,ns,144
UniFrac Function,Internal Rayon Parallel,1000000,,,86497916.0,ns,146
UniFrac Function,Internal Rayon Parallel,1000000,,,88683625.0,ns,148
UniFrac Function,Internal Rayon Parallel,1000000,,,89560917.0,ns,150
UniFrac Function,Internal Rayon Parallel,1000000,,,90213459.0,ns,152
UniFrac Function,Internal Rayon Parallel,1000000,,,91668500.0,ns,154
UniFrac Function,Internal Rayon Parallel,1000000,,,94259792.0,ns,156
UniFrac Function,Internal Rayon Parallel,1000000,,,96132709.0,ns,158
UniFrac Function,Internal Rayon Parallel,1000000,,,94830250.0,ns,160
UniFrac Function,Internal Rayon Parallel,1000000,,,96459625.0,ns,162
UniFrac Function,Internal Rayon Parallel,1000000,,,98139417.0,ns,164
UniFrac Function,Internal Rayon Parallel,1000000,,,99610750.0,ns,166
UniFrac Function,Internal Rayon Parallel,1000000,,,99584500.0,ns,168
UniFrac Function,Internal Rayon Parallel,1000000,,,101168250.0,ns,170
UniFrac Function,Internal Rayon Parallel,1000000,,,102765208.0,ns,172
UniFrac Function,Internal Rayon Parallel,1000000,,,102179250.0,ns,174
UniFrac Function,Internal Rayon Parallel,1000000,,,103678208.0,ns,176
UniFrac Function,Internal Rayon Parallel,1000000,,,107991917.0,ns,178
UniFrac Function,Internal Rayon Parallel,1000000,,,108535250.0,ns,180
UniFrac Function,Internal Rayon Parallel,1000000,,,107348417.0,ns,182
UniFrac Function,Internal Rayon Parallel,1000000,,,109495833.0,ns,184
UniFrac Function,Internal Rayon Parallel,1000000,,,110516375.0,ns,186
UniFrac Function,Internal Rayon Parallel,1000000,,,111369750.0,ns,188
UniFrac Function,Internal Rayon Parallel,1000000,,,113556667.0,ns,190
UniFrac Function,Internal Rayon Parallel,1000000,,,114153917.0,ns,192
UniFrac Function,Internal Rayon Parallel,1000000,,,115698167.0,ns,194
UniFrac Function,Internal Rayon Parallel,1000000,,,116102083.0,ns,196
UniFrac Function,Internal Rayon Parallel,1000000,,,119585875.0,ns,198
UniFrac Function,Internal Rayon Parallel,1000000,,,120546042.0,ns,200
