group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,External Rayon Parallel,10,,,1044667.0,ns,58
UniFrac Function,External Rayon Parallel,10,,,1823250.0,ns,116
UniFrac Function,External Rayon Parallel,10,,,3012417.0,ns,174
UniFrac Function,External Rayon Parallel,10,,,4150959.0,ns,232
UniFrac Function,External Rayon Parallel,10,,,5605750.0,ns,290
UniFrac Function,External Rayon Parallel,10,,,5897416.0,ns,348
UniFrac Function,External Rayon Parallel,10,,,7039667.0,ns,406
UniFrac Function,External Rayon Parallel,10,,,8031416.0,ns,464
UniFrac Function,External Rayon Parallel,10,,,8968875.0,ns,522
UniFrac Function,External Rayon Parallel,10,,,10463458.0,ns,580
UniFrac Function,External Rayon Parallel,10,,,10682834.0,ns,638
UniFrac Function,External Rayon Parallel,10,,,11476708.0,ns,696
UniFrac Function,External Rayon Parallel,10,,,13037042.0,ns,754
UniFrac Function,External Rayon Parallel,10,,,14390500.0,ns,812
UniFrac Function,External Rayon Parallel,10,,,14506292.0,ns,870
UniFrac Function,External Rayon Parallel,10,,,15791125.0,ns,928
UniFrac Function,External Rayon Parallel,10,,,16592250.0,ns,986
UniFrac Function,External Rayon Parallel,10,,,17683500.0,ns,1044
UniFrac Function,External Rayon Parallel,10,,,19252917.0,ns,1102
UniFrac Function,External Rayon Parallel,10,,,19929417.0,ns,1160
UniFrac Function,External Rayon Parallel,10,,,21333959.0,ns,1218
UniFrac Function,External Rayon Parallel,10,,,21524792.0,ns,1276
UniFrac Function,External Rayon Parallel,10,,,22527250.0,ns,1334
UniFrac Function,External Rayon Parallel,10,,,24364042.0,ns,1392
UniFrac Function,External Rayon Parallel,10,,,25444833.0,ns,1450
UniFrac Function,External Rayon Parallel,10,,,26498250.0,ns,1508
UniFrac Function,External Rayon Parallel,10,,,27006500.0,ns,1566
UniFrac Function,External Rayon Parallel,10,,,28134584.0,ns,1624
UniFrac Function,External Rayon Parallel,10,,,29660750.0,ns,1682
UniFrac Function,External Rayon Parallel,10,,,29991083.0,ns,1740
UniFrac Function,External Rayon Parallel,10,,,32106792.0,ns,1798
UniFrac Function,External Rayon Parallel,10,,,32179084.0,ns,1856
UniFrac Function,External Rayon Parallel,10,,,32783250.0,ns,1914
UniFrac Function,External Rayon Parallel,10,,,34545334.0,ns,1972
UniFrac Function,External Rayon Parallel,10,,,34456584.0,ns,2030
UniFrac Function,External Rayon Parallel,10,,,35979167.0,ns,2088
UniFrac Function,External Rayon Parallel,10,,,37067000.0,ns,2146
UniFrac Function,External Rayon Parallel,10,,,38530584.0,ns,2204
UniFrac Function,External Rayon Parallel,10,,,39251458.0,ns,2262
UniFrac Function,External Rayon Parallel,10,,,39571208.0,ns,2320
UniFrac Function,External Rayon Parallel,10,,,41911125.0,ns,2378
UniFrac Function,External Rayon Parallel,10,,,42392250.0,ns,2436
UniFrac Function,External Rayon Parallel,10,,,45200208.0,ns,2494
UniFrac Function,External Rayon Parallel,10,,,45138583.0,ns,2552
