#OTU_ID	Orwoll_BI0023_BI	Orwoll_BI0056_BI	Orwoll_BI0131_BI	Orwoll_BI0153_BI	Orwoll_BI0215_BI	Orwoll_BI0353_BI
Zotu253	0	4	0	16	0	17
Zotu254	1	32	0	0	3	0
Zotu255	10	11	10	0	0	0
Zotu256	24	0	9	0	0	0
Zotu257	1	2	14	0	21	0
Zotu258	0	33	0	0	0	0
Zotu259	0	35	0	0	0	0
Zotu26	1	15	42	344	1108	6
Zotu260	0	37	0	0	0	0
Zotu261	0	1	37	0	0	0
Zotu262	0	0	30	0	0	0
Zotu263	0	0	0	21	9	0
Zotu264	9	16	0	3	5	0
Zotu265	28	2	0	0	4	1
Zotu266	33	0	0	0	0	0
Zotu267	0	0	37	0	0	0
Zotu268	0	0	0	40	0	0
Zotu269	5	0	1	0	1	26
Zotu27	13	1313	5	5	82	3
Zotu270	4	0	0	8	22	0
Zotu271	0	6	0	0	0	25
Zotu272	0	0	0	0	0	43
Zotu273	33	0	1	0	0	0
Zotu274	31	0	0	0	0	0
Zotu275	36	0	2	0	2	0
Zotu276	13	0	20	3	0	0
Zotu277	0	3	4	3	10	13
Zotu278	0	0	0	0	41	0
Zotu279	17	14	4	0	11	0
Zotu28	292	2	44	195	26	952
Zotu280	0	28	0	0	0	0
Zotu281	3	0	3	3	18	0
Zotu282	4	24	0	0	0	0
Zotu283	22	0	6	0	0	0
Zotu284	0	31	0	0	0	0
Zotu285	0	0	26	0	0	0
Zotu286	29	0	4	0	1	0
Zotu287	27	0	0	0	0	0
Zotu288	3	0	0	0	0	25
Zotu289	19	1	1	0	6	1
Zotu29	1437	0	20	0	0	0
Zotu290	5	30	0	0	0	3
Zotu291	16	4	6	0	0	0
Zotu292	24	0	0	0	0	0
Zotu293	0	3	0	1	0	21
Zotu294	0	0	6	0	0	22
Zotu295	23	0	1	0	0	5
Zotu296	15	9	4	0	3	0
Zotu297	27	0	0	0	0	0
Zotu298	3	0	21	0	0	0
Zotu299	18	2	3	0	4	0
Zotu3	735	2	1220	4612	1657	5305
Zotu30	1269	0	125	0	86	0
Zotu300	1	17	0	1	4	0
Zotu301	0	0	23	0	0	0
Zotu302	27	0	0	0	0	0
Zotu303	24	2	0	0	0	0
Zotu304	0	31	0	0	0	0
Zotu305	0	8	8	0	0	12
Zotu306	0	0	24	0	0	0
Zotu307	0	0	21	0	0	0
Zotu308	0	0	22	0	0	0
Zotu309	0	0	0	25	0	0
Zotu31	62	19	0	38	1279	0
Zotu310	0	0	0	0	23	0
Zotu311	0	0	0	0	28	0
Zotu312	0	0	0	0	25	0
Zotu313	0	0	0	0	0	26
Zotu314	0	0	0	0	3	22
Zotu315	24	0	0	0	0	0
Zotu316	8	0	0	0	18	1
Zotu317	17	0	0	0	7	0
Zotu318	13	4	9	0	0	0
Zotu319	17	0	0	9	3	0
Zotu32	1021	46	266	20	42	0
Zotu320	0	3	7	0	4	4
Zotu321	0	20	0	0	0	0
Zotu322	0	21	0	1	0	1
Zotu323	0	5	0	0	13	0
Zotu324	0	0	22	0	0	0
Zotu325	0	0	22	0	0	0
Zotu326	0	0	19	0	0	0
Zotu327	0	0	24	0	0	0
Zotu328	0	0	0	5	15	0
Zotu329	0	2	0	0	26	0
Zotu33	764	1	103	441	0	1
Zotu330	13	0	5	0	0	0
Zotu331	17	0	0	0	3	0
Zotu332	19	0	1	0	0	0
Zotu333	12	0	0	0	3	0
Zotu334	11	0	1	0	0	3
Zotu335	9	2	0	4	1	0
Zotu336	13	0	1	2	0	0
Zotu337	8	8	2	0	0	0
Zotu338	0	22	0	0	0	0
Zotu339	0	0	18	0	0	0
Zotu34	2	1	1	1369	0	0
Zotu340	0	0	20	0	0	0
Zotu341	1	0	3	15	8	5
Zotu342	0	0	0	0	16	0
Zotu343	0	0	0	0	0	20
Zotu344	0	0	0	0	0	21
Zotu345	16	0	0	0	0	0
Zotu346	21	0	0	0	0	0
Zotu347	16	0	0	0	0	0
Zotu348	2	0	0	23	2	0
Zotu349	16	0	0	0	0	0
Zotu35	367	0	1	950	2	0
Zotu350	3	0	2	0	3	10
Zotu351	0	161	0	0	23	0
Zotu352	0	7	0	12	0	0
Zotu353	0	16	0	0	0	0
Zotu354	0	14	3	6	0	0
Zotu355	0	0	18	0	0	0
Zotu356	0	0	17	0	0	0
Zotu357	0	0	19	0	0	0
Zotu358	0	0	2	5	10	0
Zotu359	0	0	0	0	21	0
Zotu36	69	0	51	1104	22	0
Zotu360	0	0	0	0	17	0
Zotu361	0	0	0	1	20	0
Zotu362	8	0	2	3	0	4
Zotu363	11	3	1	0	0	0
Zotu364	11	0	0	4	3	6
Zotu365	16	0	1	0	0	0
Zotu366	10	0	3	0	3	0
Zotu367	9	0	4	7	0	0
Zotu368	16	0	0	1	0	0
Zotu369	0	146	0	0	11	0
Zotu37	280	66	320	144	209	106
Zotu370	0	14	0	0	0	0
Zotu371	0	4	0	0	6	9
Zotu372	0	0	1	16	0	0
Zotu373	0	0	0	5	3	16
Zotu374	0	0	0	17	0	0
Zotu375	2	0	0	9	3	4
Zotu376	17	0	0	0	1	0
Zotu377	6	0	0	11	1	6
Zotu378	12	0	0	1	0	0
Zotu379	6	2	0	2	14	0
Zotu38	662	192	54	177	6	0
Zotu380	0	17	0	0	0	0
Zotu381	0	14	9	0	0	0
Zotu382	0	16	0	0	1	0
Zotu383	0	0	2	4	0	8
Zotu384	0	0	0	21	0	0
Zotu385	0	0	0	16	8	0
Zotu386	0	0	0	5	15	0
Zotu387	0	1	0	0	19	0
Zotu388	16	0	0	0	0	0
Zotu389	14	0	0	0	0	0
Zotu39	177	2	9	240	258	297
Zotu390	13	0	0	0	0	0
Zotu391	11	0	0	0	0	0
Zotu392	6	0	0	0	5	0
Zotu393	6	0	0	10	0	3
Zotu394	1	0	3	0	9	0
Zotu395	11	0	0	2	2	0
Zotu396	13	0	0	0	0	0
Zotu397	0	12	0	0	0	0
Zotu398	0	0	4	9	0	0
Zotu399	0	0	1	2	14	4
Zotu4	0	6109	0	1165	5303	2
Zotu40	34	284	127	114	48	256
Zotu400	0	0	0	15	0	0
Zotu401	0	0	0	12	0	0
Zotu402	0	0	0	0	16	0
Zotu403	0	0	0	0	0	14
Zotu404	0	0	0	0	0	16
