group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,Internal Rayon Parallel,100000,,,757084.0,ns,12
UniFrac Function,Internal Rayon Parallel,100000,,,2186041.0,ns,24
UniFrac Function,Internal Rayon Parallel,100000,,,2741875.0,ns,36
UniFrac Function,Internal Rayon Parallel,100000,,,3931958.0,ns,48
UniFrac Function,Internal Rayon Parallel,100000,,,4481416.0,ns,60
UniFrac Function,Internal Rayon Parallel,100000,,,6316875.0,ns,72
UniFrac Function,Internal Rayon Parallel,100000,,,6595875.0,ns,84
UniFrac Function,Internal Rayon Parallel,100000,,,8725125.0,ns,96
UniFrac Function,Internal Rayon Parallel,100000,,,9186583.0,ns,108
UniFrac Function,Internal Rayon Parallel,100000,,,9483667.0,ns,120
UniFrac Function,Internal Rayon Parallel,100000,,,10639417.0,ns,132
UniFrac Function,Internal Rayon Parallel,100000,,,11522000.0,ns,144
UniFrac Function,Internal Rayon Parallel,100000,,,13421708.0,ns,156
UniFrac Function,Internal Rayon Parallel,100000,,,14352291.0,ns,168
UniFrac Function,Internal Rayon Parallel,100000,,,15556375.0,ns,180
UniFrac Function,Internal Rayon Parallel,100000,,,16121917.0,ns,192
UniFrac Function,Internal Rayon Parallel,100000,,,16606417.0,ns,204
UniFrac Function,Internal Rayon Parallel,100000,,,18655209.0,ns,216
UniFrac Function,Internal Rayon Parallel,100000,,,19227208.0,ns,228
UniFrac Function,Internal Rayon Parallel,100000,,,19200042.0,ns,240
UniFrac Function,Internal Rayon Parallel,100000,,,21099792.0,ns,252
UniFrac Function,Internal Rayon Parallel,100000,,,23293500.0,ns,264
UniFrac Function,Internal Rayon Parallel,100000,,,22615208.0,ns,276
UniFrac Function,Internal Rayon Parallel,100000,,,24562667.0,ns,288
UniFrac Function,Internal Rayon Parallel,100000,,,25981625.0,ns,300
UniFrac Function,Internal Rayon Parallel,100000,,,25709167.0,ns,312
UniFrac Function,Internal Rayon Parallel,100000,,,27423625.0,ns,324
UniFrac Function,Internal Rayon Parallel,100000,,,28230583.0,ns,336
UniFrac Function,Internal Rayon Parallel,100000,,,29907500.0,ns,348
UniFrac Function,Internal Rayon Parallel,100000,,,30897833.0,ns,360
UniFrac Function,Internal Rayon Parallel,100000,,,31188708.0,ns,372
UniFrac Function,Internal Rayon Parallel,100000,,,32369542.0,ns,384
UniFrac Function,Internal Rayon Parallel,100000,,,34265666.0,ns,396
UniFrac Function,Internal Rayon Parallel,100000,,,36435041.0,ns,408
UniFrac Function,Internal Rayon Parallel,100000,,,34490625.0,ns,420
UniFrac Function,Internal Rayon Parallel,100000,,,37484917.0,ns,432
UniFrac Function,Internal Rayon Parallel,100000,,,38240166.0,ns,444
UniFrac Function,Internal Rayon Parallel,100000,,,36831250.0,ns,456
UniFrac Function,Internal Rayon Parallel,100000,,,39464292.0,ns,468
UniFrac Function,Internal Rayon Parallel,100000,,,42441625.0,ns,480
UniFrac Function,Internal Rayon Parallel,100000,,,43422792.0,ns,492
UniFrac Function,Internal Rayon Parallel,100000,,,41482459.0,ns,504
UniFrac Function,Internal Rayon Parallel,100000,,,43410083.0,ns,516
UniFrac Function,Internal Rayon Parallel,100000,,,44706000.0,ns,528
UniFrac Function,Internal Rayon Parallel,100000,,,46494667.0,ns,540
UniFrac Function,Internal Rayon Parallel,100000,,,47606458.0,ns,552
UniFrac Function,Internal Rayon Parallel,100000,,,46904250.0,ns,564
UniFrac Function,Internal Rayon Parallel,100000,,,50064834.0,ns,576
UniFrac Function,Internal Rayon Parallel,100000,,,49729000.0,ns,588
UniFrac Function,Internal Rayon Parallel,100000,,,50808791.0,ns,600
UniFrac Function,Internal Rayon Parallel,100000,,,51349209.0,ns,612
UniFrac Function,Internal Rayon Parallel,100000,,,51725167.0,ns,624
UniFrac Function,Internal Rayon Parallel,100000,,,54095958.0,ns,636
