group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,NDarray vectorized,1000000,,,1787791.0,ns,2
UniFrac Function,NDarray vectorized,1000000,,,3513583.0,ns,4
UniFrac Function,NDarray vectorized,1000000,,,5292584.0,ns,6
UniFrac Function,NDarray vectorized,1000000,,,7703125.0,ns,8
UniFrac Function,NDarray vectorized,1000000,,,8824541.0,ns,10
UniFrac Function,NDarray vectorized,1000000,,,11279625.0,ns,12
UniFrac Function,NDarray vectorized,1000000,,,14271291.0,ns,14
UniFrac Function,NDarray vectorized,1000000,,,14675042.0,ns,16
UniFrac Function,NDarray vectorized,1000000,,,16340750.0,ns,18
UniFrac Function,NDarray vectorized,1000000,,,18746584.0,ns,20
UniFrac Function,NDarray vectorized,1000000,,,21419542.0,ns,22
UniFrac Function,NDarray vectorized,1000000,,,23413125.0,ns,24
UniFrac Function,NDarray vectorized,1000000,,,25841792.0,ns,26
UniFrac Function,NDarray vectorized,1000000,,,26251125.0,ns,28
UniFrac Function,NDarray vectorized,1000000,,,30906917.0,ns,30
UniFrac Function,NDarray vectorized,1000000,,,28908541.0,ns,32
UniFrac Function,NDarray vectorized,1000000,,,30536125.0,ns,34
UniFrac Function,NDarray vectorized,1000000,,,31932667.0,ns,36
UniFrac Function,NDarray vectorized,1000000,,,33472791.0,ns,38
UniFrac Function,NDarray vectorized,1000000,,,35759208.0,ns,40
UniFrac Function,NDarray vectorized,1000000,,,37069291.0,ns,42
UniFrac Function,NDarray vectorized,1000000,,,38661791.0,ns,44
UniFrac Function,NDarray vectorized,1000000,,,40331958.0,ns,46
UniFrac Function,NDarray vectorized,1000000,,,42216708.0,ns,48
UniFrac Function,NDarray vectorized,1000000,,,44000750.0,ns,50
UniFrac Function,NDarray vectorized,1000000,,,45834583.0,ns,52
UniFrac Function,NDarray vectorized,1000000,,,47615208.0,ns,54
UniFrac Function,NDarray vectorized,1000000,,,49144167.0,ns,56
UniFrac Function,NDarray vectorized,1000000,,,51032542.0,ns,58
UniFrac Function,NDarray vectorized,1000000,,,52531292.0,ns,60
UniFrac Function,NDarray vectorized,1000000,,,54292584.0,ns,62
UniFrac Function,NDarray vectorized,1000000,,,56257458.0,ns,64
UniFrac Function,NDarray vectorized,1000000,,,58589875.0,ns,66
UniFrac Function,NDarray vectorized,1000000,,,61686667.0,ns,68
UniFrac Function,NDarray vectorized,1000000,,,61789167.0,ns,70
UniFrac Function,NDarray vectorized,1000000,,,65566041.0,ns,72
UniFrac Function,NDarray vectorized,1000000,,,69611667.0,ns,74
UniFrac Function,NDarray vectorized,1000000,,,71643583.0,ns,76
UniFrac Function,NDarray vectorized,1000000,,,70786375.0,ns,78
UniFrac Function,NDarray vectorized,1000000,,,70458167.0,ns,80
UniFrac Function,NDarray vectorized,1000000,,,71987875.0,ns,82
UniFrac Function,NDarray vectorized,1000000,,,73725166.0,ns,84
UniFrac Function,NDarray vectorized,1000000,,,76290500.0,ns,86
UniFrac Function,NDarray vectorized,1000000,,,77144500.0,ns,88
UniFrac Function,NDarray vectorized,1000000,,,78647667.0,ns,90
UniFrac Function,NDarray vectorized,1000000,,,80886667.0,ns,92
UniFrac Function,NDarray vectorized,1000000,,,82775834.0,ns,94
UniFrac Function,NDarray vectorized,1000000,,,84918250.0,ns,96
UniFrac Function,NDarray vectorized,1000000,,,86700166.0,ns,98
UniFrac Function,NDarray vectorized,1000000,,,88122791.0,ns,100
UniFrac Function,NDarray vectorized,1000000,,,96100833.0,ns,102
UniFrac Function,NDarray vectorized,1000000,,,93765291.0,ns,104
UniFrac Function,NDarray vectorized,1000000,,,91726041.0,ns,106
UniFrac Function,NDarray vectorized,1000000,,,93748417.0,ns,108
UniFrac Function,NDarray vectorized,1000000,,,95254458.0,ns,110
UniFrac Function,NDarray vectorized,1000000,,,96741916.0,ns,112
UniFrac Function,NDarray vectorized,1000000,,,98306500.0,ns,114
UniFrac Function,NDarray vectorized,1000000,,,100522916.0,ns,116
UniFrac Function,NDarray vectorized,1000000,,,101664500.0,ns,118
UniFrac Function,NDarray vectorized,1000000,,,104116250.0,ns,120
UniFrac Function,NDarray vectorized,1000000,,,105857750.0,ns,122
UniFrac Function,NDarray vectorized,1000000,,,113153875.0,ns,124
UniFrac Function,NDarray vectorized,1000000,,,112114000.0,ns,126
UniFrac Function,NDarray vectorized,1000000,,,110397625.0,ns,128
UniFrac Function,NDarray vectorized,1000000,,,111810125.0,ns,130
UniFrac Function,NDarray vectorized,1000000,,,113577250.0,ns,132
UniFrac Function,NDarray vectorized,1000000,,,115258375.0,ns,134
UniFrac Function,NDarray vectorized,1000000,,,118669708.0,ns,136
UniFrac Function,NDarray vectorized,1000000,,,119397666.0,ns,138
UniFrac Function,NDarray vectorized,1000000,,,121737541.0,ns,140
UniFrac Function,NDarray vectorized,1000000,,,125249959.0,ns,142
UniFrac Function,NDarray vectorized,1000000,,,128597417.0,ns,144
