group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,NDarray vectorized,100000,,,974959.0,ns,19
UniFrac Function,NDarray vectorized,100000,,,1947083.0,ns,38
UniFrac Function,NDarray vectorized,100000,,,2932667.0,ns,57
UniFrac Function,NDarray vectorized,100000,,,3857750.0,ns,76
UniFrac Function,NDarray vectorized,100000,,,4852541.0,ns,95
UniFrac Function,NDarray vectorized,100000,,,5796666.0,ns,114
UniFrac Function,NDarray vectorized,100000,,,6778708.0,ns,133
UniFrac Function,NDarray vectorized,100000,,,7821542.0,ns,152
UniFrac Function,NDarray vectorized,100000,,,8649250.0,ns,171
UniFrac Function,NDarray vectorized,100000,,,9797500.0,ns,190
UniFrac Function,NDarray vectorized,100000,,,10734042.0,ns,209
UniFrac Function,NDarray vectorized,100000,,,11580708.0,ns,228
UniFrac Function,NDarray vectorized,100000,,,12527791.0,ns,247
UniFrac Function,NDarray vectorized,100000,,,13481250.0,ns,266
UniFrac Function,NDarray vectorized,100000,,,14370500.0,ns,285
UniFrac Function,NDarray vectorized,100000,,,15249958.0,ns,304
UniFrac Function,NDarray vectorized,100000,,,16202041.0,ns,323
UniFrac Function,NDarray vectorized,100000,,,17157666.0,ns,342
UniFrac Function,NDarray vectorized,100000,,,18044166.0,ns,361
UniFrac Function,NDarray vectorized,100000,,,19018208.0,ns,380
UniFrac Function,NDarray vectorized,100000,,,19950708.0,ns,399
UniFrac Function,NDarray vectorized,100000,,,20896333.0,ns,418
UniFrac Function,NDarray vectorized,100000,,,21851750.0,ns,437
UniFrac Function,NDarray vectorized,100000,,,22802875.0,ns,456
UniFrac Function,NDarray vectorized,100000,,,23739792.0,ns,475
UniFrac Function,NDarray vectorized,100000,,,24697458.0,ns,494
UniFrac Function,NDarray vectorized,100000,,,25645833.0,ns,513
UniFrac Function,NDarray vectorized,100000,,,26592542.0,ns,532
UniFrac Function,NDarray vectorized,100000,,,27573084.0,ns,551
UniFrac Function,NDarray vectorized,100000,,,28500250.0,ns,570
UniFrac Function,NDarray vectorized,100000,,,29499584.0,ns,589
UniFrac Function,NDarray vectorized,100000,,,30397625.0,ns,608
UniFrac Function,NDarray vectorized,100000,,,31368541.0,ns,627
UniFrac Function,NDarray vectorized,100000,,,32290750.0,ns,646
UniFrac Function,NDarray vectorized,100000,,,33258667.0,ns,665
UniFrac Function,NDarray vectorized,100000,,,34219792.0,ns,684
UniFrac Function,NDarray vectorized,100000,,,35173708.0,ns,703
UniFrac Function,NDarray vectorized,100000,,,36109916.0,ns,722
UniFrac Function,NDarray vectorized,100000,,,37078791.0,ns,741
UniFrac Function,NDarray vectorized,100000,,,37998375.0,ns,760
UniFrac Function,NDarray vectorized,100000,,,38972417.0,ns,779
UniFrac Function,NDarray vectorized,100000,,,39930084.0,ns,798
UniFrac Function,NDarray vectorized,100000,,,40957292.0,ns,817
UniFrac Function,NDarray vectorized,100000,,,41879125.0,ns,836
UniFrac Function,NDarray vectorized,100000,,,42792167.0,ns,855
UniFrac Function,NDarray vectorized,100000,,,44206042.0,ns,874
UniFrac Function,NDarray vectorized,100000,,,45624458.0,ns,893
UniFrac Function,NDarray vectorized,100000,,,46617167.0,ns,912
UniFrac Function,NDarray vectorized,100000,,,47045000.0,ns,931
UniFrac Function,NDarray vectorized,100000,,,47841875.0,ns,950
UniFrac Function,NDarray vectorized,100000,,,48559250.0,ns,969
UniFrac Function,NDarray vectorized,100000,,,49506750.0,ns,988
UniFrac Function,NDarray vectorized,100000,,,50430834.0,ns,1007
UniFrac Function,NDarray vectorized,100000,,,51350000.0,ns,1026
UniFrac Function,NDarray vectorized,100000,,,52322709.0,ns,1045
UniFrac Function,NDarray vectorized,100000,,,53251583.0,ns,1064
UniFrac Function,NDarray vectorized,100000,,,54173750.0,ns,1083
UniFrac Function,NDarray vectorized,100000,,,55150083.0,ns,1102
UniFrac Function,NDarray vectorized,100000,,,56156000.0,ns,1121
UniFrac Function,NDarray vectorized,100000,,,57090750.0,ns,1140
UniFrac Function,NDarray vectorized,100000,,,58003500.0,ns,1159
UniFrac Function,NDarray vectorized,100000,,,59253791.0,ns,1178
UniFrac Function,NDarray vectorized,100000,,,60184666.0,ns,1197
UniFrac Function,NDarray vectorized,100000,,,61133291.0,ns,1216
UniFrac Function,NDarray vectorized,100000,,,62260750.0,ns,1235
UniFrac Function,NDarray vectorized,100000,,,63589167.0,ns,1254
UniFrac Function,NDarray vectorized,100000,,,65530375.0,ns,1273
UniFrac Function,NDarray vectorized,100000,,,65872291.0,ns,1292
UniFrac Function,NDarray vectorized,100000,,,65802042.0,ns,1311
UniFrac Function,NDarray vectorized,100000,,,66712167.0,ns,1330
UniFrac Function,NDarray vectorized,100000,,,67532000.0,ns,1349
UniFrac Function,NDarray vectorized,100000,,,68470166.0,ns,1368
UniFrac Function,NDarray vectorized,100000,,,69430250.0,ns,1387
UniFrac Function,NDarray vectorized,100000,,,70468875.0,ns,1406
UniFrac Function,NDarray vectorized,100000,,,71345958.0,ns,1425
UniFrac Function,NDarray vectorized,100000,,,72323542.0,ns,1444
UniFrac Function,NDarray vectorized,100000,,,73252709.0,ns,1463
UniFrac Function,NDarray vectorized,100000,,,74184833.0,ns,1482
UniFrac Function,NDarray vectorized,100000,,,75120875.0,ns,1501
UniFrac Function,NDarray vectorized,100000,,,76099958.0,ns,1520
UniFrac Function,NDarray vectorized,100000,,,77152417.0,ns,1539
UniFrac Function,NDarray vectorized,100000,,,79810625.0,ns,1558
UniFrac Function,NDarray vectorized,100000,,,80352333.0,ns,1577
UniFrac Function,NDarray vectorized,100000,,,80390292.0,ns,1596
UniFrac Function,NDarray vectorized,100000,,,81258875.0,ns,1615
UniFrac Function,NDarray vectorized,100000,,,82147167.0,ns,1634
UniFrac Function,NDarray vectorized,100000,,,83153250.0,ns,1653
UniFrac Function,NDarray vectorized,100000,,,84116958.0,ns,1672
UniFrac Function,NDarray vectorized,100000,,,85018667.0,ns,1691
UniFrac Function,NDarray vectorized,100000,,,85918834.0,ns,1710
UniFrac Function,NDarray vectorized,100000,,,86865333.0,ns,1729
UniFrac Function,NDarray vectorized,100000,,,87832333.0,ns,1748
UniFrac Function,NDarray vectorized,100000,,,88835334.0,ns,1767
UniFrac Function,NDarray vectorized,100000,,,90022583.0,ns,1786
UniFrac Function,NDarray vectorized,100000,,,91890375.0,ns,1805
UniFrac Function,NDarray vectorized,100000,,,93096917.0,ns,1824
UniFrac Function,NDarray vectorized,100000,,,92889500.0,ns,1843
UniFrac Function,NDarray vectorized,100000,,,93279625.0,ns,1862
UniFrac Function,NDarray vectorized,100000,,,94188125.0,ns,1881
UniFrac Function,NDarray vectorized,100000,,,95095916.0,ns,1900
