group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,Internal Rayon Parallel,10000,,,981917.0,ns,18
UniFrac Function,Internal Rayon Parallel,10000,,,2010250.0,ns,36
UniFrac Function,Internal Rayon Parallel,10000,,,3178250.0,ns,54
UniFrac Function,Internal Rayon Parallel,10000,,,4214792.0,ns,72
UniFrac Function,Internal Rayon Parallel,10000,,,3937917.0,ns,90
UniFrac Function,Internal Rayon Parallel,10000,,,5452125.0,ns,108
UniFrac Function,Internal Rayon Parallel,10000,,,5790791.0,ns,126
UniFrac Function,Internal Rayon Parallel,10000,,,7464875.0,ns,144
UniFrac Function,Internal Rayon Parallel,10000,,,9360333.0,ns,162
UniFrac Function,Internal Rayon Parallel,10000,,,10442708.0,ns,180
UniFrac Function,Internal Rayon Parallel,10000,,,12918250.0,ns,198
UniFrac Function,Internal Rayon Parallel,10000,,,12879917.0,ns,216
UniFrac Function,Internal Rayon Parallel,10000,,,13081125.0,ns,234
UniFrac Function,Internal Rayon Parallel,10000,,,15347667.0,ns,252
UniFrac Function,Internal Rayon Parallel,10000,,,14913500.0,ns,270
UniFrac Function,Internal Rayon Parallel,10000,,,17481250.0,ns,288
UniFrac Function,Internal Rayon Parallel,10000,,,17196458.0,ns,306
UniFrac Function,Internal Rayon Parallel,10000,,,17951709.0,ns,324
UniFrac Function,Internal Rayon Parallel,10000,,,18880667.0,ns,342
UniFrac Function,Internal Rayon Parallel,10000,,,20717542.0,ns,360
UniFrac Function,Internal Rayon Parallel,10000,,,22818500.0,ns,378
UniFrac Function,Internal Rayon Parallel,10000,,,23820500.0,ns,396
UniFrac Function,Internal Rayon Parallel,10000,,,25711417.0,ns,414
UniFrac Function,Internal Rayon Parallel,10000,,,26148958.0,ns,432
UniFrac Function,Internal Rayon Parallel,10000,,,27194042.0,ns,450
UniFrac Function,Internal Rayon Parallel,10000,,,19593250.0,ns,468
UniFrac Function,Internal Rayon Parallel,10000,,,23857542.0,ns,486
UniFrac Function,Internal Rayon Parallel,10000,,,24416417.0,ns,504
UniFrac Function,Internal Rayon Parallel,10000,,,29616958.0,ns,522
UniFrac Function,Internal Rayon Parallel,10000,,,32104500.0,ns,540
UniFrac Function,Internal Rayon Parallel,10000,,,32563500.0,ns,558
UniFrac Function,Internal Rayon Parallel,10000,,,34005959.0,ns,576
UniFrac Function,Internal Rayon Parallel,10000,,,34107500.0,ns,594
UniFrac Function,Internal Rayon Parallel,10000,,,36365542.0,ns,612
UniFrac Function,Internal Rayon Parallel,10000,,,38671167.0,ns,630
UniFrac Function,Internal Rayon Parallel,10000,,,38740209.0,ns,648
UniFrac Function,Internal Rayon Parallel,10000,,,38628375.0,ns,666
UniFrac Function,Internal Rayon Parallel,10000,,,41604959.0,ns,684
UniFrac Function,Internal Rayon Parallel,10000,,,41580917.0,ns,702
UniFrac Function,Internal Rayon Parallel,10000,,,42238042.0,ns,720
UniFrac Function,Internal Rayon Parallel,10000,,,42926417.0,ns,738
UniFrac Function,Internal Rayon Parallel,10000,,,43653125.0,ns,756
UniFrac Function,Internal Rayon Parallel,10000,,,44264958.0,ns,774
UniFrac Function,Internal Rayon Parallel,10000,,,45275708.0,ns,792
UniFrac Function,Internal Rayon Parallel,10000,,,47268459.0,ns,810
UniFrac Function,Internal Rayon Parallel,10000,,,48810042.0,ns,828
UniFrac Function,Internal Rayon Parallel,10000,,,49603208.0,ns,846
UniFrac Function,Internal Rayon Parallel,10000,,,51021250.0,ns,864
UniFrac Function,Internal Rayon Parallel,10000,,,49991708.0,ns,882
UniFrac Function,Internal Rayon Parallel,10000,,,52083125.0,ns,900
UniFrac Function,Internal Rayon Parallel,10000,,,55603542.0,ns,918
UniFrac Function,Internal Rayon Parallel,10000,,,54507958.0,ns,936
UniFrac Function,Internal Rayon Parallel,10000,,,39923291.0,ns,954
UniFrac Function,Internal Rayon Parallel,10000,,,53425917.0,ns,972
UniFrac Function,Internal Rayon Parallel,10000,,,57972375.0,ns,990
UniFrac Function,Internal Rayon Parallel,10000,,,57215292.0,ns,1008
UniFrac Function,Internal Rayon Parallel,10000,,,58616500.0,ns,1026
UniFrac Function,Internal Rayon Parallel,10000,,,60428833.0,ns,1044
UniFrac Function,Internal Rayon Parallel,10000,,,62045583.0,ns,1062
UniFrac Function,Internal Rayon Parallel,10000,,,61181500.0,ns,1080
UniFrac Function,Internal Rayon Parallel,10000,,,62803542.0,ns,1098
UniFrac Function,Internal Rayon Parallel,10000,,,64326750.0,ns,1116
UniFrac Function,Internal Rayon Parallel,10000,,,67290625.0,ns,1134
UniFrac Function,Internal Rayon Parallel,10000,,,65257334.0,ns,1152
UniFrac Function,Internal Rayon Parallel,10000,,,69263958.0,ns,1170
UniFrac Function,Internal Rayon Parallel,10000,,,69613625.0,ns,1188
UniFrac Function,Internal Rayon Parallel,10000,,,72073458.0,ns,1206
UniFrac Function,Internal Rayon Parallel,10000,,,70481333.0,ns,1224
UniFrac Function,Internal Rayon Parallel,10000,,,75319750.0,ns,1242
UniFrac Function,Internal Rayon Parallel,10000,,,59505542.0,ns,1260
UniFrac Function,Internal Rayon Parallel,10000,,,73590750.0,ns,1278
UniFrac Function,Internal Rayon Parallel,10000,,,59948625.0,ns,1296
UniFrac Function,Internal Rayon Parallel,10000,,,65714125.0,ns,1314
UniFrac Function,Internal Rayon Parallel,10000,,,78940292.0,ns,1332
UniFrac Function,Internal Rayon Parallel,10000,,,78396500.0,ns,1350
UniFrac Function,Internal Rayon Parallel,10000,,,83037166.0,ns,1368
UniFrac Function,Internal Rayon Parallel,10000,,,76209292.0,ns,1386
UniFrac Function,Internal Rayon Parallel,10000,,,77728667.0,ns,1404
UniFrac Function,Internal Rayon Parallel,10000,,,79354500.0,ns,1422
UniFrac Function,Internal Rayon Parallel,10000,,,85062542.0,ns,1440
UniFrac Function,Internal Rayon Parallel,10000,,,85783334.0,ns,1458
UniFrac Function,Internal Rayon Parallel,10000,,,87287875.0,ns,1476
UniFrac Function,Internal Rayon Parallel,10000,,,89541708.0,ns,1494
UniFrac Function,Internal Rayon Parallel,10000,,,73604792.0,ns,1512
UniFrac Function,Internal Rayon Parallel,10000,,,88192083.0,ns,1530
UniFrac Function,Internal Rayon Parallel,10000,,,90160083.0,ns,1548
UniFrac Function,Internal Rayon Parallel,10000,,,93376458.0,ns,1566
UniFrac Function,Internal Rayon Parallel,10000,,,93341708.0,ns,1584
UniFrac Function,Internal Rayon Parallel,10000,,,94683042.0,ns,1602
UniFrac Function,Internal Rayon Parallel,10000,,,94819625.0,ns,1620
UniFrac Function,Internal Rayon Parallel,10000,,,95748333.0,ns,1638
UniFrac Function,Internal Rayon Parallel,10000,,,97446084.0,ns,1656
UniFrac Function,Internal Rayon Parallel,10000,,,98828500.0,ns,1674
UniFrac Function,Internal Rayon Parallel,10000,,,96735917.0,ns,1692
UniFrac Function,Internal Rayon Parallel,10000,,,98739625.0,ns,1710
UniFrac Function,Internal Rayon Parallel,10000,,,86260625.0,ns,1728
UniFrac Function,Internal Rayon Parallel,10000,,,100835458.0,ns,1746
UniFrac Function,Internal Rayon Parallel,10000,,,102626375.0,ns,1764
UniFrac Function,Internal Rayon Parallel,10000,,,97447792.0,ns,1782
UniFrac Function,Internal Rayon Parallel,10000,,,104251584.0,ns,1800
