group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,External Rayon Parallel,10,,,854375.0,ns,71
UniFrac Function,External Rayon Parallel,10,,,1543292.0,ns,142
UniFrac Function,External Rayon Parallel,10,,,2197583.0,ns,213
UniFrac Function,External Rayon Parallel,10,,,2602709.0,ns,284
UniFrac Function,External Rayon Parallel,10,,,2845250.0,ns,355
UniFrac Function,External Rayon Parallel,10,,,3636167.0,ns,426
UniFrac Function,External Rayon Parallel,10,,,4313750.0,ns,497
UniFrac Function,External Rayon Parallel,10,,,5665750.0,ns,568
UniFrac Function,External Rayon Parallel,10,,,6304208.0,ns,639
UniFrac Function,External Rayon Parallel,10,,,7099667.0,ns,710
UniFrac Function,External Rayon Parallel,10,,,8013958.0,ns,781
UniFrac Function,External Rayon Parallel,10,,,8624417.0,ns,852
UniFrac Function,External Rayon Parallel,10,,,7570375.0,ns,923
UniFrac Function,External Rayon Parallel,10,,,9378166.0,ns,994
UniFrac Function,External Rayon Parallel,10,,,10724958.0,ns,1065
UniFrac Function,External Rayon Parallel,10,,,12391625.0,ns,1136
UniFrac Function,External Rayon Parallel,10,,,10851500.0,ns,1207
UniFrac Function,External Rayon Parallel,10,,,12201375.0,ns,1278
UniFrac Function,External Rayon Parallel,10,,,13428500.0,ns,1349
UniFrac Function,External Rayon Parallel,10,,,13057208.0,ns,1420
UniFrac Function,External Rayon Parallel,10,,,12423500.0,ns,1491
UniFrac Function,External Rayon Parallel,10,,,16206959.0,ns,1562
UniFrac Function,External Rayon Parallel,10,,,15863208.0,ns,1633
UniFrac Function,External Rayon Parallel,10,,,12898125.0,ns,1704
UniFrac Function,External Rayon Parallel,10,,,23508709.0,ns,1775
UniFrac Function,External Rayon Parallel,10,,,18557042.0,ns,1846
UniFrac Function,External Rayon Parallel,10,,,15123125.0,ns,1917
UniFrac Function,External Rayon Parallel,10,,,21859000.0,ns,1988
UniFrac Function,External Rayon Parallel,10,,,19205334.0,ns,2059
UniFrac Function,External Rayon Parallel,10,,,21610500.0,ns,2130
UniFrac Function,External Rayon Parallel,10,,,20512875.0,ns,2201
UniFrac Function,External Rayon Parallel,10,,,21187750.0,ns,2272
UniFrac Function,External Rayon Parallel,10,,,22316417.0,ns,2343
UniFrac Function,External Rayon Parallel,10,,,22913208.0,ns,2414
UniFrac Function,External Rayon Parallel,10,,,27526542.0,ns,2485
UniFrac Function,External Rayon Parallel,10,,,31251709.0,ns,2556
UniFrac Function,External Rayon Parallel,10,,,28771500.0,ns,2627
UniFrac Function,External Rayon Parallel,10,,,27250875.0,ns,2698
UniFrac Function,External Rayon Parallel,10,,,29405708.0,ns,2769
UniFrac Function,External Rayon Parallel,10,,,33275250.0,ns,2840
UniFrac Function,External Rayon Parallel,10,,,28020667.0,ns,2911
UniFrac Function,External Rayon Parallel,10,,,31130416.0,ns,2982
UniFrac Function,External Rayon Parallel,10,,,42479542.0,ns,3053
UniFrac Function,External Rayon Parallel,10,,,48070917.0,ns,3124
UniFrac Function,External Rayon Parallel,10,,,37617916.0,ns,3195
UniFrac Function,External Rayon Parallel,10,,,42113416.0,ns,3266
UniFrac Function,External Rayon Parallel,10,,,55133166.0,ns,3337
UniFrac Function,External Rayon Parallel,10,,,50504708.0,ns,3408
UniFrac Function,External Rayon Parallel,10,,,37811250.0,ns,3479
UniFrac Function,External Rayon Parallel,10,,,41624667.0,ns,3550
UniFrac Function,External Rayon Parallel,10,,,38140041.0,ns,3621
UniFrac Function,External Rayon Parallel,10,,,42886458.0,ns,3692
UniFrac Function,External Rayon Parallel,10,,,45626209.0,ns,3763
UniFrac Function,External Rayon Parallel,10,,,44140583.0,ns,3834
UniFrac Function,External Rayon Parallel,10,,,36003042.0,ns,3905
UniFrac Function,External Rayon Parallel,10,,,37608625.0,ns,3976
UniFrac Function,External Rayon Parallel,10,,,41248209.0,ns,4047
UniFrac Function,External Rayon Parallel,10,,,48564375.0,ns,4118
UniFrac Function,External Rayon Parallel,10,,,50440833.0,ns,4189
UniFrac Function,External Rayon Parallel,10,,,46320416.0,ns,4260
UniFrac Function,External Rayon Parallel,10,,,39845375.0,ns,4331
UniFrac Function,External Rayon Parallel,10,,,40833417.0,ns,4402
UniFrac Function,External Rayon Parallel,10,,,41363833.0,ns,4473
UniFrac Function,External Rayon Parallel,10,,,42170083.0,ns,4544
UniFrac Function,External Rayon Parallel,10,,,42947708.0,ns,4615
UniFrac Function,External Rayon Parallel,10,,,43077417.0,ns,4686
UniFrac Function,External Rayon Parallel,10,,,44453334.0,ns,4757
UniFrac Function,External Rayon Parallel,10,,,44284167.0,ns,4828
UniFrac Function,External Rayon Parallel,10,,,44955167.0,ns,4899
UniFrac Function,External Rayon Parallel,10,,,45517333.0,ns,4970
UniFrac Function,External Rayon Parallel,10,,,46204417.0,ns,5041
UniFrac Function,External Rayon Parallel,10,,,46861084.0,ns,5112
UniFrac Function,External Rayon Parallel,10,,,47739458.0,ns,5183
UniFrac Function,External Rayon Parallel,10,,,47928417.0,ns,5254
UniFrac Function,External Rayon Parallel,10,,,53223375.0,ns,5325
UniFrac Function,External Rayon Parallel,10,,,55986334.0,ns,5396
UniFrac Function,External Rayon Parallel,10,,,52472083.0,ns,5467
UniFrac Function,External Rayon Parallel,10,,,51678709.0,ns,5538
UniFrac Function,External Rayon Parallel,10,,,50804708.0,ns,5609
UniFrac Function,External Rayon Parallel,10,,,52229666.0,ns,5680
UniFrac Function,External Rayon Parallel,10,,,53009125.0,ns,5751
UniFrac Function,External Rayon Parallel,10,,,52214333.0,ns,5822
UniFrac Function,External Rayon Parallel,10,,,52081125.0,ns,5893
UniFrac Function,External Rayon Parallel,10,,,54264500.0,ns,5964
UniFrac Function,External Rayon Parallel,10,,,53743792.0,ns,6035
UniFrac Function,External Rayon Parallel,10,,,54130833.0,ns,6106
UniFrac Function,External Rayon Parallel,10,,,55536917.0,ns,6177
UniFrac Function,External Rayon Parallel,10,,,56909042.0,ns,6248
UniFrac Function,External Rayon Parallel,10,,,55938709.0,ns,6319
UniFrac Function,External Rayon Parallel,10,,,57060542.0,ns,6390
UniFrac Function,External Rayon Parallel,10,,,57572042.0,ns,6461
UniFrac Function,External Rayon Parallel,10,,,57832459.0,ns,6532
UniFrac Function,External Rayon Parallel,10,,,58086875.0,ns,6603
UniFrac Function,External Rayon Parallel,10,,,59659916.0,ns,6674
UniFrac Function,External Rayon Parallel,10,,,59637666.0,ns,6745
UniFrac Function,External Rayon Parallel,10,,,60338792.0,ns,6816
UniFrac Function,External Rayon Parallel,10,,,61232084.0,ns,6887
UniFrac Function,External Rayon Parallel,10,,,61818708.0,ns,6958
UniFrac Function,External Rayon Parallel,10,,,62412625.0,ns,7029
UniFrac Function,External Rayon Parallel,10,,,62675084.0,ns,7100
