group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,External Rayon Parallel,100,,,1008875.0,ns,47
UniFrac Function,External Rayon Parallel,100,,,2588750.0,ns,94
UniFrac Function,External Rayon Parallel,100,,,3668500.0,ns,141
UniFrac Function,External Rayon Parallel,100,,,4036000.0,ns,188
UniFrac Function,External Rayon Parallel,100,,,5797542.0,ns,235
UniFrac Function,External Rayon Parallel,100,,,6715958.0,ns,282
UniFrac Function,External Rayon Parallel,100,,,7938791.0,ns,329
UniFrac Function,External Rayon Parallel,100,,,8738583.0,ns,376
UniFrac Function,External Rayon Parallel,100,,,10549166.0,ns,423
UniFrac Function,External Rayon Parallel,100,,,11376875.0,ns,470
UniFrac Function,External Rayon Parallel,100,,,13030875.0,ns,517
UniFrac Function,External Rayon Parallel,100,,,13892917.0,ns,564
UniFrac Function,External Rayon Parallel,100,,,14657250.0,ns,611
UniFrac Function,External Rayon Parallel,100,,,14424250.0,ns,658
UniFrac Function,External Rayon Parallel,100,,,17519916.0,ns,705
UniFrac Function,External Rayon Parallel,100,,,19120416.0,ns,752
UniFrac Function,External Rayon Parallel,100,,,19896875.0,ns,799
UniFrac Function,External Rayon Parallel,100,,,20357834.0,ns,846
UniFrac Function,External Rayon Parallel,100,,,21326167.0,ns,893
UniFrac Function,External Rayon Parallel,100,,,23772959.0,ns,940
UniFrac Function,External Rayon Parallel,100,,,24377916.0,ns,987
UniFrac Function,External Rayon Parallel,100,,,24416250.0,ns,1034
UniFrac Function,External Rayon Parallel,100,,,26237125.0,ns,1081
UniFrac Function,External Rayon Parallel,100,,,27968041.0,ns,1128
UniFrac Function,External Rayon Parallel,100,,,28850917.0,ns,1175
UniFrac Function,External Rayon Parallel,100,,,27599459.0,ns,1222
UniFrac Function,External Rayon Parallel,100,,,31057167.0,ns,1269
UniFrac Function,External Rayon Parallel,100,,,32303625.0,ns,1316
UniFrac Function,External Rayon Parallel,100,,,32850041.0,ns,1363
UniFrac Function,External Rayon Parallel,100,,,35032125.0,ns,1410
UniFrac Function,External Rayon Parallel,100,,,34366875.0,ns,1457
UniFrac Function,External Rayon Parallel,100,,,33560917.0,ns,1504
UniFrac Function,External Rayon Parallel,100,,,34973334.0,ns,1551
UniFrac Function,External Rayon Parallel,100,,,37553292.0,ns,1598
UniFrac Function,External Rayon Parallel,100,,,41186500.0,ns,1645
UniFrac Function,External Rayon Parallel,100,,,39405875.0,ns,1692
UniFrac Function,External Rayon Parallel,100,,,42034584.0,ns,1739
UniFrac Function,External Rayon Parallel,100,,,40908334.0,ns,1786
UniFrac Function,External Rayon Parallel,100,,,43661542.0,ns,1833
UniFrac Function,External Rayon Parallel,100,,,45557834.0,ns,1880
UniFrac Function,External Rayon Parallel,100,,,44400250.0,ns,1927
UniFrac Function,External Rayon Parallel,100,,,47970958.0,ns,1974
UniFrac Function,External Rayon Parallel,100,,,47512667.0,ns,2021
UniFrac Function,External Rayon Parallel,100,,,48783959.0,ns,2068
UniFrac Function,External Rayon Parallel,100,,,49966250.0,ns,2115
UniFrac Function,External Rayon Parallel,100,,,50424292.0,ns,2162
UniFrac Function,External Rayon Parallel,100,,,49904625.0,ns,2209
UniFrac Function,External Rayon Parallel,100,,,52826458.0,ns,2256
UniFrac Function,External Rayon Parallel,100,,,54103459.0,ns,2303
UniFrac Function,External Rayon Parallel,100,,,53211084.0,ns,2350
UniFrac Function,External Rayon Parallel,100,,,54944833.0,ns,2397
UniFrac Function,External Rayon Parallel,100,,,56070542.0,ns,2444
UniFrac Function,External Rayon Parallel,100,,,59645625.0,ns,2491
UniFrac Function,External Rayon Parallel,100,,,59061459.0,ns,2538
UniFrac Function,External Rayon Parallel,100,,,60506917.0,ns,2585
UniFrac Function,External Rayon Parallel,100,,,60821042.0,ns,2632
UniFrac Function,External Rayon Parallel,100,,,63022209.0,ns,2679
UniFrac Function,External Rayon Parallel,100,,,64564125.0,ns,2726
UniFrac Function,External Rayon Parallel,100,,,64578709.0,ns,2773
UniFrac Function,External Rayon Parallel,100,,,55397250.0,ns,2820
UniFrac Function,External Rayon Parallel,100,,,63928584.0,ns,2867
UniFrac Function,External Rayon Parallel,100,,,68424208.0,ns,2914
UniFrac Function,External Rayon Parallel,100,,,71384334.0,ns,2961
UniFrac Function,External Rayon Parallel,100,,,73266292.0,ns,3008
UniFrac Function,External Rayon Parallel,100,,,72605417.0,ns,3055
UniFrac Function,External Rayon Parallel,100,,,76177083.0,ns,3102
UniFrac Function,External Rayon Parallel,100,,,77296125.0,ns,3149
UniFrac Function,External Rayon Parallel,100,,,78076209.0,ns,3196
UniFrac Function,External Rayon Parallel,100,,,79059709.0,ns,3243
UniFrac Function,External Rayon Parallel,100,,,79542708.0,ns,3290
UniFrac Function,External Rayon Parallel,100,,,78660583.0,ns,3337
UniFrac Function,External Rayon Parallel,100,,,80982375.0,ns,3384
UniFrac Function,External Rayon Parallel,100,,,84146667.0,ns,3431
UniFrac Function,External Rayon Parallel,100,,,84259542.0,ns,3478
UniFrac Function,External Rayon Parallel,100,,,85611167.0,ns,3525
UniFrac Function,External Rayon Parallel,100,,,87095875.0,ns,3572
UniFrac Function,External Rayon Parallel,100,,,90605708.0,ns,3619
