group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,NDarray vectorized,10000,,,990917.0,ns,187
UniFrac Function,NDarray vectorized,10000,,,1997084.0,ns,374
UniFrac Function,NDarray vectorized,10000,,,2951458.0,ns,561
UniFrac Function,NDarray vectorized,10000,,,4034750.0,ns,748
UniFrac Function,NDarray vectorized,10000,,,5126083.0,ns,935
UniFrac Function,NDarray vectorized,10000,,,6270416.0,ns,1122
UniFrac Function,NDarray vectorized,10000,,,7046833.0,ns,1309
UniFrac Function,NDarray vectorized,10000,,,8100000.0,ns,1496
UniFrac Function,NDarray vectorized,10000,,,9188583.0,ns,1683
UniFrac Function,NDarray vectorized,10000,,,10097458.0,ns,1870
UniFrac Function,NDarray vectorized,10000,,,11027541.0,ns,2057
UniFrac Function,NDarray vectorized,10000,,,12130791.0,ns,2244
UniFrac Function,NDarray vectorized,10000,,,13121166.0,ns,2431
UniFrac Function,NDarray vectorized,10000,,,14057958.0,ns,2618
UniFrac Function,NDarray vectorized,10000,,,15024958.0,ns,2805
UniFrac Function,NDarray vectorized,10000,,,15981167.0,ns,2992
UniFrac Function,NDarray vectorized,10000,,,16982167.0,ns,3179
UniFrac Function,NDarray vectorized,10000,,,17763375.0,ns,3366
UniFrac Function,NDarray vectorized,10000,,,18863833.0,ns,3553
UniFrac Function,NDarray vectorized,10000,,,19767083.0,ns,3740
UniFrac Function,NDarray vectorized,10000,,,20866209.0,ns,3927
UniFrac Function,NDarray vectorized,10000,,,21761375.0,ns,4114
UniFrac Function,NDarray vectorized,10000,,,22878042.0,ns,4301
UniFrac Function,NDarray vectorized,10000,,,23704209.0,ns,4488
UniFrac Function,NDarray vectorized,10000,,,24729708.0,ns,4675
UniFrac Function,NDarray vectorized,10000,,,25729375.0,ns,4862
UniFrac Function,NDarray vectorized,10000,,,26689500.0,ns,5049
UniFrac Function,NDarray vectorized,10000,,,27643709.0,ns,5236
UniFrac Function,NDarray vectorized,10000,,,28633916.0,ns,5423
UniFrac Function,NDarray vectorized,10000,,,29631208.0,ns,5610
UniFrac Function,NDarray vectorized,10000,,,30626917.0,ns,5797
UniFrac Function,NDarray vectorized,10000,,,31584917.0,ns,5984
UniFrac Function,NDarray vectorized,10000,,,32627000.0,ns,6171
UniFrac Function,NDarray vectorized,10000,,,33586333.0,ns,6358
UniFrac Function,NDarray vectorized,10000,,,34625833.0,ns,6545
UniFrac Function,NDarray vectorized,10000,,,35573959.0,ns,6732
UniFrac Function,NDarray vectorized,10000,,,36545167.0,ns,6919
UniFrac Function,NDarray vectorized,10000,,,37522500.0,ns,7106
UniFrac Function,NDarray vectorized,10000,,,38514500.0,ns,7293
UniFrac Function,NDarray vectorized,10000,,,39520667.0,ns,7480
UniFrac Function,NDarray vectorized,10000,,,40492208.0,ns,7667
UniFrac Function,NDarray vectorized,10000,,,41494750.0,ns,7854
UniFrac Function,NDarray vectorized,10000,,,42509167.0,ns,8041
UniFrac Function,NDarray vectorized,10000,,,43525375.0,ns,8228
UniFrac Function,NDarray vectorized,10000,,,44574125.0,ns,8415
UniFrac Function,NDarray vectorized,10000,,,45827750.0,ns,8602
UniFrac Function,NDarray vectorized,10000,,,47718792.0,ns,8789
UniFrac Function,NDarray vectorized,10000,,,48367208.0,ns,8976
UniFrac Function,NDarray vectorized,10000,,,48928000.0,ns,9163
UniFrac Function,NDarray vectorized,10000,,,49761875.0,ns,9350
UniFrac Function,NDarray vectorized,10000,,,50540541.0,ns,9537
UniFrac Function,NDarray vectorized,10000,,,51453833.0,ns,9724
UniFrac Function,NDarray vectorized,10000,,,52361542.0,ns,9911
UniFrac Function,NDarray vectorized,10000,,,53363792.0,ns,10098
UniFrac Function,NDarray vectorized,10000,,,54327834.0,ns,10285
UniFrac Function,NDarray vectorized,10000,,,55315292.0,ns,10472
UniFrac Function,NDarray vectorized,10000,,,56362083.0,ns,10659
UniFrac Function,NDarray vectorized,10000,,,57271916.0,ns,10846
UniFrac Function,NDarray vectorized,10000,,,58295708.0,ns,11033
UniFrac Function,NDarray vectorized,10000,,,59272625.0,ns,11220
UniFrac Function,NDarray vectorized,10000,,,60273750.0,ns,11407
UniFrac Function,NDarray vectorized,10000,,,61236583.0,ns,11594
UniFrac Function,NDarray vectorized,10000,,,62250041.0,ns,11781
UniFrac Function,NDarray vectorized,10000,,,63317833.0,ns,11968
UniFrac Function,NDarray vectorized,10000,,,65116083.0,ns,12155
UniFrac Function,NDarray vectorized,10000,,,67410000.0,ns,12342
UniFrac Function,NDarray vectorized,10000,,,68458000.0,ns,12529
UniFrac Function,NDarray vectorized,10000,,,68612292.0,ns,12716
UniFrac Function,NDarray vectorized,10000,,,69145834.0,ns,12903
UniFrac Function,NDarray vectorized,10000,,,70132125.0,ns,13090
UniFrac Function,NDarray vectorized,10000,,,71120708.0,ns,13277
UniFrac Function,NDarray vectorized,10000,,,72097750.0,ns,13464
UniFrac Function,NDarray vectorized,10000,,,73213208.0,ns,13651
UniFrac Function,NDarray vectorized,10000,,,74135417.0,ns,13838
UniFrac Function,NDarray vectorized,10000,,,75140792.0,ns,14025
UniFrac Function,NDarray vectorized,10000,,,76124417.0,ns,14212
UniFrac Function,NDarray vectorized,10000,,,77373667.0,ns,14399
UniFrac Function,NDarray vectorized,10000,,,78308750.0,ns,14586
UniFrac Function,NDarray vectorized,10000,,,79318375.0,ns,14773
UniFrac Function,NDarray vectorized,10000,,,80316125.0,ns,14960
UniFrac Function,NDarray vectorized,10000,,,83266167.0,ns,15147
UniFrac Function,NDarray vectorized,10000,,,83316917.0,ns,15334
UniFrac Function,NDarray vectorized,10000,,,83206958.0,ns,15521
UniFrac Function,NDarray vectorized,10000,,,84167666.0,ns,15708
UniFrac Function,NDarray vectorized,10000,,,85146458.0,ns,15895
UniFrac Function,NDarray vectorized,10000,,,86163750.0,ns,16082
UniFrac Function,NDarray vectorized,10000,,,87156583.0,ns,16269
UniFrac Function,NDarray vectorized,10000,,,88451750.0,ns,16456
UniFrac Function,NDarray vectorized,10000,,,89426917.0,ns,16643
UniFrac Function,NDarray vectorized,10000,,,90464542.0,ns,16830
UniFrac Function,NDarray vectorized,10000,,,91349209.0,ns,17017
UniFrac Function,NDarray vectorized,10000,,,92377958.0,ns,17204
UniFrac Function,NDarray vectorized,10000,,,94547583.0,ns,17391
UniFrac Function,NDarray vectorized,10000,,,96067958.0,ns,17578
UniFrac Function,NDarray vectorized,10000,,,95685042.0,ns,17765
UniFrac Function,NDarray vectorized,10000,,,96304584.0,ns,17952
UniFrac Function,NDarray vectorized,10000,,,97263208.0,ns,18139
UniFrac Function,NDarray vectorized,10000,,,98205791.0,ns,18326
UniFrac Function,NDarray vectorized,10000,,,99202333.0,ns,18513
UniFrac Function,NDarray vectorized,10000,,,100232250.0,ns,18700
